"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"UNT",96.30182154,"SO",0,"Hispanic","a. Sci","N","Y","N","N","0",78,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,17
"UTXW",73.9,"FR",0,"Hispanic","c","N","Y","N","N","0",87,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,12
"UTXW",94.1,"FR",0,"Hispanic","b","N","Y","N","N","0",87,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,12
"UTXW",99.1,"FR",0,"White","a. Sci","N","Y","N","N","0",78,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,9
"UTXW",95.2,"FR",0,"Hispanic","b","N","Y","N","N","0",78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19
"UTXW",74.5,"FR",0,"Asian","a. Eng","N","Y","N","N","0",78,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,9
"UTXW",82.5,"FR",0,"White","b","N","Y","N","N","0",78,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6
"UTXW",92.1,"FR",0,"Hispanic","a. Tech,Math","N","Y","N","N","0",78,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,14
"UTXW",75.2,"FR",0,"Hispanic","c","N","Y","N","N","0",78,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,11
"UTXW",92.8,"FR",0,"Hispanic","b","N","Y","N","N","0",87,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,15
